Path	Description	Genes
Chromosomal and microsatellite instability in colorectal cancer 	CRC arises from the colorectal epithelium as a result of the accumulation of genetic alterations in defined oncogenes and tumour suppressor genes (TSG). Two major mechanisms of genomic instability have been identified in sporadic CRC progression. The first, known as chromosomal instability (CIN), results from a series of genetic changes that involve the activation of oncogenes such as K-ras and inactivation of TSG such as p53, DCC/Smad4, and APC. The second, known as  microsatellite instability (MSI), results from inactivation of the DNA mismatch repair genes MLH1 and/or MSH2 by hypermethylation of their promoter, and secondary mutation of genes with coding microsatellites, such as transforming growth factor receptor II (TGF-RII) and BAX. Hereditary syndromes have germline mutations in specific genes (mutation in the tumour suppressor gene APC on chromosome 5q in FAP, mutated DNA mismatch repair genes in HNPCC).This pathway is based on information from [http://www.genome.jp/dbget-bin/www_bget?map05210 KEGG]The most common mutation in colon cancer is inactivation of APC. When APC does not have an inactivating mutation, frequently there are activating mutations in β-catenin. In order for cancer to develop, both alleles must be mutated. Mutations in APC or β-catenin must be followed by other mutations to become cancerous; however, in carriers of an APC inactivating mutations, the risk of colorectal cancer by age 40 is almost 100%.The impact of KRAS mutations is heavily dependent on the order of mutations. Primary KRAS mutations generally lead to a self-limiting hyperplastic or borderline lesion, but if they occur after a previous APC mutation it often progresses to cancer. KRAS mutation is predictive of a very poor response to panitumumab and cetuximab therapy in colorectal cancer. Currently, the most reliable way to predict whether a colorectal cancer patient will respond to one of the EGFR-inhibiting drugs is to test for certain “activating” mutations in the gene that encodes KRAS, which occurs in 30%–50% of colorectal cancers. Studies show patients whose tumors express the mutated version of the KRAS gene will not respond to cetuximab or panitumumab. Source: [https://en.wikipedia.org/wiki/KRAS#Colorectal_cancer Wikipedia]DCC can be considered a conditional tumor suppressor gene as well as a conditional oncogene. When DCC is present and not activated by netrin it is proapoptotic, and represses tumor formation. When DCC is present and netrin-activated it promotes cell survival, acting as an oncoprotein. One of the most frequent genetic abnormalities that occur in advanced colorectal cancer is loss of heterozygosity (LOH) of DCC in region 18q21. Source: [https://en.wikipedia.org/wiki/Deleted_in_Colorectal_Cancer Wikipedia][https://www.ncbi.nlm.nih.gov/pubmed/25736321 de Miranda et al] suggest that TGFβ signaling remains active in some CRC cells with MSI mutations in the TGFBR2 gene, because the mutated gene still expresses a functional protein. Aberrant overexpression of cyclooxygenase-2 (COX-2) is thought to have an important role in development of CRC. The tumorigenic effects of COX-2 can be attributed to the production of PGE2; increased levels of PGE2 have been reported in colorectal adenomas as well as carcinomas. COX-2 and PGE2 regulate proliferation, survival, migration, and invasion in colorectal tumors. Source: [https://www.ncbi.nlm.nih.gov/pubmed/20420946 Pino et al].Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP4216 CPTAC Assay Portal]	BBC3,TP53,MLH1,MAPK3,BAX,DDB2,MAPK1,AKT3,RAF1,AXIN1,PMAIP1,SMAD2,BIRC5,TCF7L2,TGFB3,APC2,AKT1,CYCS,ARAF,RALA,RHOA,TCF7L1,CTNNB1,MAP2K1,MSH2,AKT2,BCL2L11,GSK3B,KRAS,PTGS2,GADD45A,GADD45G,TGFBR1,NTN1,APC,CASP9,FOS,RAC2,BAD,TBK1,RAC3,MAPK10,AXIN2,CSNK1A1,CDKN1A,SMAD4,TGFB1,RALGDS,RAC1,SMAD3,JUN,EXOC2,MAPK8,MSH6,LEF1,BAK1,TGFB2,GADD45B,BCL2,CASP3,TGFBR2,APPL1,REL,RALB,CSNK1A1L,MSH3,BRAF,TCF7,POLK,MYC,MAPK9,DCC,CCND1,PI3K
Fluoroacetic acid toxicity	Pathway on fluoroacetic acid toxicity describing how it ultimately leads to disturbance of the Krebs cycle.	Citrate synthase,ALDH3A2,Acetyl-CoA synthetase,ALDH9A1,Aconitase,ALDH2
Vitamin A and Carotenoid Metabolism	This pathway is about carotenoid and vitamin A metabolism. The initial version was created by the NuGO focusteam on Carotenoid metabolism. It was used to test a text mining workflow which added some additional entities (see Waagmeester et al. 2009 [https://www.ncbi.nlm.nih.gov/pubmed/19715393]).	RARg,Rdh10,Aldh1a3,Sult1a1,Scarb1,RPE65,Rbp1,Sult2b1,Adh4,Cd36,Rdh5,Aldh1a1,Retsat,Abcg8,Rlbp1,RXRa,Cyp26b1,Retinol dehydrogenases,RXRg,Aldh1a2,Rbp7,Dhrs3,RARa,Bcdo2,Crabp1,Cyp2e1,Rdh8,Bcmo1,Awat,Lpl,Crabp2,Lrat,MAPK,RARb,Rbp2,Adh1,RXRb,Rdh12,Npc1l1,Rbp4,Cyp26a1,Abcg5
Omega-3/Omega-6 FA synthesis	New PW, homology converted	FADS1,ACSL4,ELOVL5,ACSL3,Acot1,ACOT2,ACSL1,FADS2,ELOVL2,ACOX3,ACOX1
Notch Signaling	The Notch signaling pathway is an evolutionarily conserved, intercellular signaling mechanism essential for proper embryonic development in all metazoan organisms in the Animal kingdom. The Notch proteins (Notch1-Notch4 in vertebrates) are single-pass receptors that are activated by the Delta (or Delta-like) and Jagged/Serrate families of membrane-bound ligands. They are transported to the plasma membrane as cleaved, but otherwise intact polypeptides. Interaction with ligand leads to two additional proteolytic cleavages that liberate the Notch intracellular domain (NICD) from the plasma membrane. The NICD translocates to the nucleus, where it forms a complex with the DNA binding protein CSL, displacing a histone deacetylase (HDAc)-co-repressor (CoR) complex from CSL. Components of an activation complex, such as MAML1 and histone acetyltransferases (HATs), are recruited to the NICD-CSL complex, leading to the transcriptional activation of Notch target genes.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP268 CPTAC Assay Portal].	RFNG,JAG2,PCAF,DVL1,APH1A,HES1,ADAM17,CIR,HDAC2,HDAC1,MAML3,RBPSUHL,NUMB,MFNG,NUMBL,PSEN1,CREBBP,PSEN2,CTBP1,PTCRA,RBPJ,DLL3,DLL4,SKIP,NCSTN,TNF,DVL2,LFNG,MAML1,NOTCH2,CTBP2,NOTCH1,GCN5L2,DVL3,NOTCH3,DLL1,DTX3,NOTCH4,APH1B,DTX3L,DTX4,JAG1,HES5,DTX2,NCOR2,DTX1
Hepatitis B infection	The Hepatitis B virus (HBV) is a virus in the Hepadnaviridae family which infects hepatocytes in the liver. It causes both acute and chronic infections, and prolonged chronic infection can lead to complications such as cirrhosis and an increased risk of hepatocellular carcinoma (HCC).The left side of the pathway describes the pathogenesis of HBV. The virus binds NTCP (SLC10A1) and is subsequently endocytosed. It is transported to the nucleus where viral polymerase creates covalently closed circular DNA (cccDNA). Using the host RNA polymerase, this is transcribed into viral mRNAs. Viral DNA polymerase then synthesizes viral DNA via its reverse transcriptase activity. Assembled viral particles exit the cell via the ESCRT pathway.The HBV regulatory protein HBx interferes with many cellular processes including transcription, signal transduction, cell cycle progress, protein degradation, apoptosis and chromosomal stability.	TBK1,CXCL8,CDKN1A,MAPK10,HSPG2,STAT1,BAD,MAPK14,EGR3,SMAD3,MAP2K3,SRC,TGFB1,DDX58,IFNA1,JAK1,BCL2,TGFBR2,STAT4,CASP3,JAK3,MMP9,BID,MAP2K2,ELK1,PIK3CB,IRF7,IFNAR1,PCNA,SLC10A1,DDX3X,TIRAP,IFNA13,APAF1,BRAF,IRAK4,YWHAZ,PTK2B,YWHAQ,TRAF6,TGFB3,SMAD2,ATF4,BAX,MAVS,IFNA6,CREB3,CASP10,HRAS,FASLG,CREB5,NFATC4,CYCS,AKT1,ARAF,CREB3L1,NFATC3,MAPK13,TLR2,EP300,KRAS,NFKB1,IRF3,MAP3K7,CASP12,DDB1,TLR4,NFATC1,PRKCG,CASP9,FOS,PRKCB,IFNA8,IFNB1,STAT6,CREBBP,IFNA4,TICAM1,IFNA10,FAS,IRAK1,JUN,TAB2,STAT2,STAT3,IFNA2,MAPK8,MAP2K4,SMAD4,ATF6B,CREB3L2,YWHAB,VDAC3,IFNA5,TGFB2,MAPK11,MAPK9,MYD88,MYC,TAB1,MAP2K6,PIK3CD,JAK2,GRB2,MAPK12,NRAS,CHUK,TICAM2,ATF2,AKT3,CREB1,FADD,STAT5A,IKBKE,SOS1,IKBKG,BIRC5,RAF1,STAT5B,IFNA7,IKBKB,TNF,MAPK3,MAPK1,PIK3R3,DDB2,TLR3,IFNA17,RELA,PIK3R2,MAP3K1,MAP2K7,NFATC2,MAP2K1,IFNA21,IL6,IFNA14,PIK3CA,CREB3L3,SOS2,CASP8,PIK3R1,AKT2,TRAF3,IFIH1,PRKCA,ATP6AP1,EGR2,CREB3L4,TYK2,TGFBR1,IFNA16
Hypertrophy Model	Model of the effects of resistance exercise on gene regulation in human quadriceps muscle after an acute bout of isotonic exerciseProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP516 CPTAC Assay Portal]	TCF8,IFNG,MYOG,MINOR,CYR61,ADAM10,IL18,IFRD1,GDF8,EIF4EBP1,?,JUND,HBEGF,WDR1,DUSP14,VEGF,IL1A,ATF3,ANKRD1,EIF4E,NR4A3,IL1R1
Drug Induction of Bile Acid Pathway	Several drug (e.g. chlozapine) and their inhibitory effects on targets of the bile acid production pathway.	ABCB11,NR1I3,ABCC4,SULT2A1,OSTBETA,ABCB1,BAAT,NR1I2,CYP7A1,OSTalpha,ABCC2,VDR,ABCC3,SLC10A1,SLCO1B1,CYP3A4,NR1H4
Secretion of Hydrochloric Acid in Parietal Cells	Gastric parietal cells are stomach epithelial cells. They secrete gastric acid and intrinsic factor. This pathway is primarily based on https://en.wikipedia.org/wiki/Parietal_cell	CCKBR,CHRM1,HRH2,ATP4A,Gastrin
Photodynamic therapy-induced HIF-1 survival signaling	Photodynamic therapy may induce a hypoxic survival response mediated by HIF-1Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3614 CPTAC Assay Portal]	HIF1AN,IGFBP3,TP53,BAX,HK1,PMAIP1,PGK1,BIRC5,TGFB3,BCL2A1,BNIP3L,BCL2L1,SERPINE1,LDHA,TGFA,PKM2,EDN1,ARNT,BID,ANGPT1,PFKL,BAK1,NOS2,PTGS2,EGLN1,BNIP3,VEGFA,HIF1A,IGFBP1,MCL1,ANGPT2,SLC16A1,SLC2A1,EPO,IGFBP2,SLC2A3
Ethylmalonic Encephalopathy	Cysteine is converted into pyruvate and hydrogen sulfide (H2S) through desulphuration and deamination. Then, H2S is oxidised by SQR, after which ETHE1 takes care of converting into sulfite (SO3 2-). One disorder named Ethylmalonic encephalopathy (EE) is linked to this pathway, a rare mitochondrial disease caused by variants within the ETHE1 geneThis pathway was inspired by Chapter 9 (edition 4) of the book of Blau (ISBN 3642403360 (978-3642403361)).	
Hfe effect on hepcidin production	new pathway, converted from mouse WP3673	HFE2,SMAD7,HAMP,BMP6,ID1,HFE,TMPRSS6
Genes involved in male infertility	Pathway(s) of genes involved in male infertility. The list of genes is derived from Krausz et al.(1) and can be sorted in general (common) cell function, endocrine function and specific spermatogenic function.	MDM2,FASLG,MMP2,SIRPA,HORMAD2,PRMT6,CDK9,AHR,MLH1,SLC46A1,NANOS1,POLG,LIG4,USP26,CRISP2,CLU,MTHFR,PARP1,OR2W3,PMS2,TCN2,DAZ2,APOB,THBS1,PON1,EP300,UBE2B,CCDC36,MTRR,TSSK4,LRWD1,ESR1,SRD5A2,ETV5,EPSTI1,HMGA1,HIST1H4A,SEMG1,CYP26B1,ERCC2,REC8,CYP1A1,UBR2,CLOCK,INSR,DAZ1,PON2,GPX1,CCNT2,SOX5,TMEM132E,PEMT,MAS1L,NFE2L2,BCL2,XRCC3,MSH5,XRCC2,NOS2,TEX15,ABCB1,NOS3,CCNA1,AR,MMP9,PIWIL1,HLA-DRA,XRCC5,HIST3H3,ESR2,VCX,EPPIN,NOS1,KDM3A,PUM2,FOLH1,CTCFL,XPC,CHD2,AHRR,PRM3,LTF,PIWIL4,XRCC4,ARNTL,TNF,DAZ3,CDC42BPA,AGO2,DAZL,SOD3,DAZ4,BRDT,CAT,KLK2,SPO11,DDX4,UBD,PEX10,PRM1,ATM,POLB,RGS9,GNAO1,PIWIL2,PRDM9,PRM2,TAS2R38,RAG1,SHMT1,SIRPG,TSSK6,RFC1,PACRG,SLC16A7,BRCA2,SOD2,CYP17A1,MLH3,H2BFWT,MOV10L1,CREBBP,ABLIM1,PIWIL3,TRIP13,MTR,FAS,MSMB,CXXC1,CCNK,ERCC1,LOC203413,USP8,HORMAD1,STRA8,DND1,MSH4,SEPT12,SPATA17,CCNT1,NQO1,MTHFD1,DDX20,YBX2,BHMT,PSAT1
Regucalcin in proximal tubule epithelial kidney cells	This pathway includes the proximal tubule epithelial kidney cells (NRK52E cell) with a basolateral and apical side and other schematic illustrated organelles involved in the process of kidney function. The influence of regucalcin on the intra-and extracellular Ca2+ regulation is showed which are both involved in cell proliferation, ion transport and apoptosis and are important in normal kidney function. When the regulation of regucalcin and other factors are downregulated and suppressed the kidney fails in functionality and so renal fibrosis will developFirst of all, TNF-B and TNF-a do have an impact on the activity of Smad which has an impact on the development of a-SMA that induced renal fibrosis. NF-kB, stimulated by TNF-a, activates the transcription factor p65 that induced the IL-8 expression which is involved in inflammatory pathways. On the other hand, regucalcin inhibits the a-SMA which means that the formation of renal fibrosis is inhibited. Further, TNF-B stimulates the caspase 8 that activates the cytochrome C which activate the apoptosis pathway. Also, here regucalcin function as an inhibitor for Apaf1 that results in an inhibition of the apoptosis pathway and activate the Bcl-2 (suppressor of apoptotic cell death). Besides the TNF-B and TNF-a pathway, there is an RTK pathway illustrated which activates the PI3K and RAS pathway for stimulation of the protein and cell proliferation. According to Yamaguchi M. (2015), regucalcin activates the Akt1 to induce the protein proliferation even further when PI3K is inhibited. The RTK pathway shows interaction with the cAMP pathway that stimulate the protein kinase A and the PIP2 pathway that stimulate the protein kinase C and IP3. These all will stimulate Ca2+ release from the endoplasmic reticulum (ER). This Ca2+ can migrate and enters the mitochondria through the Ca2+ uniporter which results in the activation of mitochondrial biological processes or release of different mitochondrial factors. Hence, calcium controls and modulate cell apoptosis and inflammation. MAP3K pathway might be involved in the stimulation of RAF1 to induce the cell proliferation and the increase in apoptosis by inhibition of Bcl-2 through JNK which is also activated by ROS. Ca2+ released by the ER can also bind to calmodulin to form the Ca2+/calmodulin complex that stimulates IP3, JNK, NOS, RGPR—p117 and NF1. The latter two proteins are involved in the enhancement of regucalcin gene expression. On the other hand, regucalcin can inhibit the activity of Ca2+/calmodulin complex and the NOS. Normally, phosphodiesterase binds cAMP that induced the degradation of cAMP which results in a decrease of protein kinase A that leads to a reduction of ER Ca2+ release. Regucalcin inhibits the phosphodiesterase in such a way that cAMP will not be degraded and the ER Ca2+ release can further occur. Remaining Ca2+ released from the ER can also transport to the microsomes, enters vis Ca2+ uniporter, to induce microsomal activities. This process of microsomal Ca2+ uptake can be diminished through the inhibition of IP3 kinase. Regucalcin is not only involved in the regulation of intracellular Ca2+ release or uptake, but also extracellular Ca2+ by stimulating the Ca2+/ATPase which leads to Ca2+ export. Besides that, the Na+/Ca2+ exchanger is important to be present on the basolateral membrane of the proximal tubule epithelial kidney cell to regulate the ion transport. On the apical membrane is the TRPV5 receptor present that regulate the import of Ca2+ from the lumen back into the kidney cell, but Ca2+ can also travel via paracellular transport. Further, in the nucleus the regucalcin has an influence on the inhibition of the serine/threonine phosphate (PSP), tyrosine phosphatase (PTP) and calcineurin gene expression. Normally, PSP stimulates the protein kinase A- and so the ER Ca2+ release-, PTP stimulates the cell growth and differentiation and calcineurin will migrate to the cytoplasm for binding to the Ca2+ and stimulates the formation of Ca2+/calmodulin complex. In general, regucalcin regulates the factors and proteins involved in ion transport, cell proliferation and apoptosis.	SMAD2,TNFRSF1A,RAF1,BAX,PTH,BAK1,AKT1,TGFB1,SMAD4,ACTA2,BRAF,APAF1,MAPK1,TRPV5,MTOR
Ovarian Infertility Genes	Ovarian bottleneck genes associated with infertilityA valuable approach to the study of infertility is the comparison of mutations of individual human and mouse genes associated with infertility phenotypes. The individual gene pages in the OKdb (Ovarian Kaleidoscope Database: http://ovary.stanford.edu) contain information on associated fertility phenotypes sorted by ovarian and nonovarian defects and by subfertility or infertility. If one searches for null mutations (under mutation type) causing infertility (infertile - ovarian defect, under female fertility status) in mice (under species), 44 gene entries are found. The expression of these infertility genes in the oocyte and granulosa cells together with their cellular localization is presented in Ovarian Infertility gene map. The theca cell genes are not presented because most publications emphasize granulosa cell studies.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP34 CPTAC Assay Portal]	CEBPB,SYNE2,VDR,CDK4,BMPR1B,FIGLA,FSHR,PTGER2,CCND2,ATM,MSH5,TF2D,NR5A1,CYP19A1,NRIP1,DMC1,PRLR,CDKN1B,EGR1,SMAD3,PGR,ESR2,LHCGR,SMPD1,ZP3,ZP2,GDF9,INHA,MLH1,DAZL,NCOR1,GJA4
Osteopontin Signaling	Study of regulation of promatrix metalloproteinase-9 (MMP-9) by osteopontin (OPN) through IKK signaling pathwayProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1434 CPTAC Assay Portal]	NFKB1,IKK-beta,SPP1,ERK1,NIK,PLAU,ERK2,MMP-9,MEK1,ITGB3,RELA,ITGAV,IKK-alpha
Overview of interferons-mediated signaling pathway	Interferons (IFNs) can be devided in three classes, Type I, II and III. Type I IFNs are created when the cell surface or specific receptors recognize microbial products; these are structural homologues of one another which bind the same receptor. Binding to this receptor leads to an activation of kinases which regulate the phosphorylation and therefore activation of some STAT proteins (see PW for details).There is only 1 Type II interferon, INF-gamma, consisting of two subunits (R1 and R2), which associate with Jak 1 and 2, respectively. Activation of Jak1 and Jak2 leads to phosphorylation of STAT1, which ultimately binds to IFN-gamma-activated sequence (GAS) elements, regulating the transcription of genes. Type III interferons are considered a protein family of 4, which bind to a different receptor compared to Type I interferons, however they trigger the same STAT1+2 phosphorylation reactions as TypeI IFNs.	IFNK,IFNA21,IFNL2,IFNA14,IFNA1,STAT2,IFNA17,IFNA2,IRF9,IFNGR2,IFNE,IFNA6,STAT1,IFNG,IFNA7,IFNA4,IFNA10,IFNA8,TYK2,IFNW1,IFNLR1,IFNAR2,IFNA16,IFNA13,IFNB1,IFNL1,JAK2,PRKCA,IL10RB,IFNL4,IFNAR1,IFNL3,IFNGR1,JAK1,PIK3CA,PIK3R1,IFNA5
Canonical NF-KB pathway	The canonical NF-KB pathway is induced by the ligand-dependent activation of a variety of receptors. Stimulus-dependent activation of the IKK complex results in the phosphorylation and subsequent proteasomal degradation of IκBα and IκBε (NFKBIA and NFKBIE). This allows the nuclear translocation of transcriptionally active RelA/p50 (RELA, NFKB1) or c-Rel/p50 heterodimers (REL, NFKB1).	NFKB1,IKBKB,NFKBIE,REL,CHUK,IKBKG,RELA,NFKBIA
